src,dst,packets,duration,rate,mean,std,max,min,tcp,udp,dns,icmp,syn,ack,psh,fin,urg,rst,sport,dport
192.168.2.2,97.81.96.137,242697,3025.723963000139,80.2112165444713,89.7919422160142,11.959212238607343,1064,26,281,242416,0,0,0.07829181494661921,0.9217081850533808,0.49466192170818507,0.07829181494661921,0.0,0.0,50048.28783215285,25093.0
192.168.6.2,97.81.96.137,240873,3520.353848999816,68.42295130883946,87.82949521116937,11.306091942112387,1130,26,476,240397,0,0,0.09453781512605042,0.9054621848739496,0.5840336134453782,0.046218487394957986,0.0,0.0,18637.265326541372,25090.646270026115
192.168.6.2,97.81.96.137,236637,4198.624973999587,56.36059459118133,100.38636392449195,17.17666620823355,778,26,179,236458,0,0,0.3016759776536313,0.6983240223463687,0.3240223463687151,0.1005586592178771,0.0,0.061452513966480445,18657.452739850487,25089.45828843334
192.168.2.2,97.81.96.137,235393,3801.272650000126,61.924787215669,91.00019541787563,12.380748796354778,1135,26,595,234798,0,0,0.03865546218487395,0.9613445378151261,0.4857142857142857,0.03697478991596639,0.0,0.025210084033613446,50044.19106345558,25093.0
192.168.2.2,97.81.96.137,235226,3119.4961480001475,75.4051259690765,90.69752493346824,11.291357376508994,784,26,163,235063,0,0,0.12269938650306748,0.8773006134969326,0.49079754601226994,0.12269938650306748,0.0,0.0,50046.19689150009,25093.0
192.168.6.2,97.81.96.137,227817,3222.8868169998736,70.68724809022946,88.45676134792399,12.580008427512377,778,26,242,227575,0,0,0.18181818181818182,0.8181818181818182,0.44214876033057854,0.09090909090909091,0.0,0.0,18651.682051822296,25090.61958062831
192.168.6.2,97.81.96.137,223037,3557.999324999695,62.68607147642422,90.60730730775612,10.33053662474724,778,26,194,222843,0,0,0.27835051546391754,0.7216494845360825,0.3556701030927835,0.10309278350515463,0.0,0.06701030927835051,18653.33234396087,25089.2423275062
97.81.96.137,192.168.2.2,222441,2248.4475730000263,98.93092579570562,94.38476270112075,16.932551324230072,672,26,267,222174,0,0,0.08239700374531835,1.0,0.5393258426966292,0.08239700374531835,0.0,0.0,25093.0,50048.706704249664
192.168.6.2,97.81.96.137,221824,3523.8583429997316,62.94918195013746,98.64905961482978,17.6018742016891,1130,26,363,221461,0,0,0.12121212121212122,0.8787878787878788,0.5289256198347108,0.06060606060606061,0.0,0.0,18644.67596382718,25090.555269042125
192.168.6.2,97.81.96.137,201332,3222.2004839999254,62.482766357875285,99.82273061411003,18.588701107129296,1130,26,363,200969,0,0,0.14325068870523416,0.8567493112947658,0.5674931129476584,0.05509641873278237,0.0,0.027548209366391185,18640.49359763972,25089.082093258894
